Song,Emotion,Genre
Cheap Thrills,Upbeat,Pop
Eastside,Chill,Pop
Arcade,Melancholic,Electronic
Harleys In Hawaii,Upbeat,Pop
BELIEVER,Empowering,Rock
Let Me Down Slowly,Melancholic,Pop
She Knows,Romantic,Blues
Starboy,Upbeat,Blues
Gangsta's Paradise,Empowering,Hip Hop
Let Me Love You,Upbeat,Electronic
Venom,Empowering,Hip Hop
I'm yours,Romantic,Pop
One Dance,Upbeat,Pop
See You Again,Melancholic,Hip Hop
Superman,Empowering,Rock
Levitating,Upbeat,Pop
Legends Never Die,Empowering,Hip Hop
Cardigan,Melancholic,Pop
Not Afraid Anymore,Melancholic,Hip Hop
Night Changes,Melancholic,Pop