song_name_1,album_cover_1,audio_clip_1,song_name_2,album_cover_2,audio_clip_2
Cheap Thrills,Cheap Thrills.jpeg,Cheap Thrills.mp3,Eastside,Eastside.jpeg,Eastside.mp3
Arcade,Arcade.jpeg,Arcade.mp3,Harleys In Hawaii,Harleys in Hawaii.jpeg,Harleys In Hawaii.mp3
BELIEVER,BELIEVER.jpeg,BELIEVER.mp3,Let Me Down Slowly,Let Me Down Slowly.jpeg,Let Me Down Slowly.mp3
She Knows,She Knows.jpeg,She Knows.mp3,Starboy,Starboy.jpeg,Starboy.mp3
Gangsta's Paradise,Gangsta's Paradise.jpeg,Gangsta's Paradise.mp3,Let Me Love You,Let me Love You.jpeg,Let Me Love You.mp3
Venom,Venom.jpeg,Venom.mp3,I'm yours,I'm yours.jpeg,I'm yours.mp3
One Dance,One dance.jpeg,One Dance.mp3,See You Again,See You Again.jpeg,See You Again.mp3
Superman,Superman.jpeg,Superman.mp3,Levitating,Levitating.jpeg,Levitating.mp3
Legends Never Die,Legends Never Die.jpeg,Legends Never Die.mp3,Cardigan,Cardigan.jpeg,Cardigan.mp3
Night Changes,Night Changes.jpeg,Night Changes.mp3,Not Afraid Anymore,Not Afraid Anymore.jpeg,Not Afraid Anymore.mp3